iter	MultiClass
0	1.065322265
1	1.038510285
2	1.017131879
3	0.99993366
4	0.9847971742
5	0.9724187914
6	0.9616836748
7	0.953473137
8	0.9458902021
9	0.9400472232
10	0.9348086059
11	0.9300406774
12	0.9263517107
13	0.9229157877
14	0.9200722428
15	0.917136851
16	0.9146462217
17	0.912495727
18	0.9105928952
19	0.9086846194
20	0.907240394
21	0.9059690377
22	0.9049924454
23	0.9039037473
24	0.9029468949
25	0.9022582459
26	0.9017250931
27	0.9010197359
28	0.9005630326
29	0.9000859428
30	0.8996750907
31	0.8995419022
32	0.8991766328
33	0.8988541201
34	0.8983743861
35	0.8980119423
36	0.8977764463
37	0.8974616687
38	0.8971540178
39	0.8969143902
40	0.8967324235
41	0.8963927279
42	0.896177174
43	0.8959930769
44	0.8957484921
45	0.8955784926
46	0.8954014423
47	0.8951777002
48	0.8950689304
49	0.8948289717
50	0.8946400681
51	0.8945267505
52	0.8943476727
53	0.8942336298
54	0.8940809959
55	0.8939253964
56	0.8936915261
57	0.8935870253
58	0.8934318511
59	0.8933311883
60	0.8932145144
61	0.8930932706
62	0.89293183
63	0.8927541349
64	0.892665602
65	0.8924997636
66	0.8924085481
67	0.8923519085
68	0.8922641335
69	0.892173299
70	0.8920752989
71	0.8919924886
72	0.8918333845
73	0.8917519137
74	0.891675329
75	0.8915857612
76	0.89154676
77	0.8914881629
78	0.8914204402
79	0.8912762937
80	0.8912113582
81	0.891186876
82	0.891116778
83	0.8910264129
84	0.8909339167
85	0.8908005739
86	0.8907036701
87	0.890629374
88	0.8906205606
89	0.8905324835
90	0.8904516664
91	0.8903385422
92	0.8902366837
93	0.8901672722
94	0.8901359775
95	0.8900300116
96	0.8899708038
97	0.8898667512
98	0.8897813307
99	0.8896783976
100	0.889555872
101	0.8895107427
102	0.8893785651
103	0.8892843483
104	0.8891934332
105	0.8890604254
106	0.8889974171
107	0.8888695473
108	0.88877438
109	0.8887386254
110	0.8886144134
111	0.8884957532
112	0.8884207648
113	0.8883512355
114	0.8882663658
115	0.8881536848
116	0.8880656016
117	0.8880074837
118	0.8878912497
119	0.8878173397
120	0.8876865787
121	0.8875945347
122	0.8874537794
123	0.8874212383
124	0.8873245581
125	0.8872584989
126	0.8871802674
127	0.8871443552
128	0.8871041754
129	0.8870249503
130	0.8868943248
131	0.8867695365
132	0.8866876333
133	0.886612506
134	0.8865194713
135	0.8864273329
136	0.886332009
137	0.8862152616
138	0.8861353839
139	0.8860265099
140	0.8859657735
141	0.8858898361
142	0.8858235913
143	0.8857717818
144	0.8856990658
145	0.8856475178
146	0.8854929767
147	0.8854065265
148	0.8853466479
149	0.8852856083
150	0.8851551192
151	0.8850628912
152	0.8849442504
153	0.8848594579
154	0.884796357
155	0.8847197042
156	0.8846517638
157	0.8845841212
158	0.8845160297
159	0.884406266
160	0.8843218528
161	0.8842165993
162	0.8841704004
163	0.8841392848
164	0.8840950631
165	0.8840250577
166	0.8839655181
167	0.8838821676
168	0.8837882442
169	0.8837210757
170	0.8836428753
171	0.8835330477
172	0.8834782246
173	0.8833738341
174	0.8832576073
175	0.8832097485
176	0.8831588239
177	0.8830643399
178	0.8829243322
179	0.882760216
180	0.8826962667
181	0.8826377238
182	0.8825552768
183	0.8824350784
184	0.8823516745
185	0.8822900756
186	0.8821300401
187	0.8820920366
188	0.8820344522
189	0.8819359791
190	0.8818550253
191	0.8817942657
192	0.8817237155
193	0.8816750359
194	0.8816158471
195	0.881531936
196	0.8814681197
197	0.8814054784
198	0.8813631591
199	0.8812739716
200	0.8811907007
201	0.8811529675
202	0.8811047534
203	0.8810438873
204	0.8809666144
205	0.8808200274
206	0.8807008854
207	0.8806434614
208	0.8805763287
209	0.8805120212
210	0.8804243813
211	0.8803485652
212	0.8802878938
213	0.8801805326
214	0.8801347735
215	0.8800465354
216	0.8799901311
217	0.8799077336
218	0.8798228159
219	0.87976724
220	0.8797270718
221	0.8796846771
222	0.8796120742
223	0.8795138419
224	0.8794449477
225	0.8794280253
226	0.8793474427
227	0.8792944911
228	0.8792497813
229	0.8792070682
230	0.8791513602
231	0.8790861969
232	0.8790079761
233	0.8789551679
234	0.8788817474
235	0.8787936321
236	0.8787064919
237	0.8786492147
238	0.8785891676
239	0.878539466
240	0.8784748684
241	0.8784194335
242	0.8783150343
243	0.8782595783
244	0.8782130941
245	0.8781560359
246	0.8780915795
247	0.8780488604
248	0.878003381
249	0.8779838113
250	0.8779572715
251	0.8778868654
252	0.8778294253
253	0.877778866
254	0.8777278976
255	0.8776239949
256	0.8776013687
257	0.877564167
258	0.8775209922
259	0.8774552089
260	0.8774240332
261	0.8773584567
262	0.8773304676
263	0.8772526326
264	0.8771957507
265	0.8771336669
266	0.8769991263
267	0.8769665929
268	0.8768942487
269	0.8768594074
270	0.8768260149
271	0.8768039399
272	0.8767360937
273	0.8766621765
274	0.8765814048
275	0.8765048335
276	0.876474369
277	0.8764487372
278	0.8763591797
279	0.8763058092
280	0.8762535401
281	0.8761945225
282	0.8761015073
283	0.876022842
284	0.8759319103
285	0.875869734
286	0.875797418
287	0.8756827565
288	0.8756350039
289	0.8755826104
290	0.8755051878
291	0.8754169555
292	0.8753444296
293	0.8753172378
294	0.8752456949
295	0.8752084952
296	0.8751457482
297	0.8750224295
298	0.8749365041
299	0.8748511746
