iter	Passed	Remaining
0	264	79070
1	372	55568
2	473	46923
3	546	40407
4	645	38078
5	732	35902
6	827	34644
7	908	33147
8	1013	32761
9	1105	32062
10	1206	31687
11	1307	31374
12	1417	31286
13	1523	31125
14	1623	30838
15	1678	29801
16	1766	29408
17	1863	29187
18	1968	29111
19	2048	28674
20	2140	28434
21	2231	28198
22	2326	28017
23	2408	27698
24	2491	27407
25	2576	27149
26	2675	27055
27	2774	26955
28	2870	26822
29	2958	26626
30	3072	26664
31	3158	26455
32	3261	26387
33	3379	26436
34	3484	26380
35	3556	26084
36	3640	25877
37	3753	25877
38	3854	25795
39	3953	25694
40	4058	25636
41	4135	25405
42	4226	25261
43	4302	25030
44	4399	24929
45	4481	24744
46	4588	24700
47	4689	24621
48	4792	24548
49	4879	24399
50	4982	24324
51	5076	24209
52	5170	24096
53	5280	24053
54	5377	23955
55	5474	23852
56	5559	23701
57	5644	23550
58	5729	23402
59	5829	23318
60	5918	23190
61	6018	23105
62	6114	23001
63	6199	22862
64	6303	22788
65	6393	22666
66	6470	22503
67	6591	22488
68	6700	22432
69	6798	22337
70	6902	22263
71	7001	22171
72	7109	22107
73	7195	21975
74	7333	22001
75	7553	22263
76	7651	22160
77	7742	22036
78	7848	21954
79	7941	21837
80	8033	21719
81	8130	21614
82	8224	21503
83	8306	21359
84	8400	21248
85	8476	21091
86	8576	20998
87	8658	20858
88	8749	20743
89	8853	20658
90	8953	20564
91	9053	20468
92	9133	20330
93	9239	20248
94	9348	20173
95	9450	20082
96	9549	19985
97	9658	19907
98	9773	19842
99	9872	19745
100	9967	19638
101	10062	19532
102	10140	19393
103	10236	19291
104	10330	19185
105	10431	19092
106	10532	18997
107	10628	18895
108	10705	18759
109	10794	18644
110	10892	18547
111	10996	18457
112	11076	18330
113	11181	18243
114	11280	18146
115	11378	18048
116	11458	17922
117	11543	17804
118	11656	17728
119	11767	17651
120	11860	17545
121	11968	17462
122	12068	17366
123	12161	17261
124	12235	17130
125	12340	17042
126	12435	16940
127	12536	16845
128	12653	16773
129	12757	16682
130	12852	16581
131	12974	16512
132	13079	16423
133	13177	16324
134	13270	16219
135	13353	16102
136	13451	16003
137	13555	15913
138	13667	15830
139	13770	15738
140	13880	15652
141	13987	15563
142	14093	15472
143	14184	15366
144	14287	15272
145	14383	15171
146	14489	15080
147	14585	14980
148	14692	14890
149	14800	14800
150	14898	14700
151	14989	14595
152	15093	14501
153	15177	14388
154	15288	14302
155	15394	14210
156	15500	14117
157	15604	14024
158	15698	13921
159	15786	13813
160	15895	13723
161	15998	13628
162	16108	13538
163	16213	13445
164	16311	13345
165	16406	13243
166	16503	13143
167	16602	13044
168	16708	12951
169	16814	12858
170	16908	12755
171	17000	12651
172	17111	12561
173	17211	12463
174	17334	12382
175	17436	12284
176	17531	12182
177	17638	12089
178	17741	11992
179	17823	11882
180	17908	11774
181	18004	11673
182	18111	11579
183	18200	11474
184	18289	11369
185	18391	11271
186	18470	11161
187	18547	11049
188	18640	10947
189	18734	10846
190	18822	10741
191	18924	10645
192	19005	10536
193	19099	10435
194	19187	10331
195	19280	10230
196	19380	10132
197	19480	10035
198	19568	9931
199	19667	9833
200	19781	9742
201	19874	9642
202	19989	9551
203	20090	9454
204	20182	9352
205	20261	9245
206	20342	9139
207	20431	9037
208	20510	8930
209	20621	8837
210	20701	8731
211	20785	8628
212	20897	8535
213	21001	8440
214	21103	8343
215	21204	8246
216	21302	8148
217	21383	8043
218	21482	7945
219	21556	7838
220	21632	7732
221	21723	7632
222	21830	7538
223	21934	7442
224	22052	7350
225	22159	7255
226	22242	7153
227	22332	7052
228	22434	6955
229	22515	6852
230	22625	6758
231	22708	6655
232	22810	6559
233	22930	6467
234	23031	6370
235	23110	6267
236	23199	6166
237	23295	6068
238	23377	5966
239	23497	5874
240	23588	5774
241	23706	5681
242	23799	5582
243	23912	5488
244	24015	5391
245	24132	5297
246	24237	5200
247	24364	5108
248	24479	5013
249	24596	4919
250	24710	4823
251	24819	4727
252	24942	4633
253	25043	4535
254	25160	4440
255	25287	4346
256	25396	4249
257	25509	4152
258	25631	4057
259	25748	3961
260	25844	3861
261	25953	3764
262	26074	3668
263	26203	3573
264	26312	3475
265	26416	3376
266	26529	3278
267	26616	3178
268	26696	3076
269	26791	2976
270	26866	2874
271	26963	2775
272	27052	2675
273	27138	2575
274	27211	2473
275	27301	2374
276	27414	2276
277	27512	2177
278	27619	2078
279	27714	1979
280	27814	1880
281	27952	1784
282	28075	1686
283	28182	1587
284	28308	1489
285	28438	1392
286	28531	1292
287	28634	1193
288	28729	1093
289	28837	994
290	28949	895
291	29039	795
292	29122	695
293	29200	595
294	29310	496
295	29417	397
296	29499	297
297	29582	198
298	29666	99
299	29771	0
